City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Ko Samui,TH,80.51,moderate rain,9.5357,99.9357,The Passage
12,Sinnamary,GF,80.4,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
13,Hilo,US,88.29,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
14,Pochutla,MX,76.15,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
25,Namie,JP,83.71,broken clouds,37.4833,141.0,いこいの村なみえ
29,Najran,SA,77.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
31,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
35,Haimen,CN,80.49,broken clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
38,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
48,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
50,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
57,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
62,Owensboro,US,82.45,clear sky,37.7742,-87.1133,Courtyard by Marriott Owensboro
69,Hachinohe,JP,79.61,overcast clouds,40.5,141.5,Hachinohe Grand Hotel
72,Kahului,US,86.02,broken clouds,20.8947,-156.47,Maui Seaside Hotel
76,Missoula,US,80.85,clear sky,47.0166,-113.8009,Gold Creek Cabin
79,Sulat,PH,81.68,overcast clouds,11.8103,125.4544,Babor's Lodging House
83,Basco,PH,84.13,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
87,Bandarbeyla,SO,76.23,scattered clouds,9.4942,50.8122,JABIR HOTEL
88,Atuona,PF,76.75,scattered clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
89,Labuhan,ID,78.82,broken clouds,-6.8844,112.2051,DoubleFAG
91,Kulhudhuffushi,MV,79.2,overcast clouds,6.6221,73.07,Haajy Guest House 1
92,Meulaboh,ID,75.33,overcast clouds,4.1363,96.1285,Kost Pria
96,Capoterra,IT,80.53,clear sky,39.1763,8.9718,Ariedo Bed And Breakfast
100,Outram,MY,78.73,scattered clouds,1.2829,103.8379,Grand Copthorne Waterfront
101,Kavieng,PG,83.53,broken clouds,-2.5744,150.7967,Nusa Island Retreat
103,Padang,ID,75.25,broken clouds,-0.9492,100.3543,Mercure Padang
104,Kutum,SD,75.92,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
106,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
108,Dakar,SN,78.93,few clouds,14.6937,-17.4441,Novotel Dakar
111,San Patricio,US,82.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
118,Lagunas,PE,78.49,scattered clouds,-5.2269,-75.6753,Hospedaje Eco
