City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dunedin,NZ,-45.8742,170.5036,42.8,65,97,17.0,overcast clouds
1,Zetea,RO,46.3833,25.3667,51.46,88,45,4.21,light rain
2,Adrar,MR,20.5022,-10.0711,93.76,25,63,9.4,broken clouds
3,Gusau,NG,12.1628,6.6614,69.73,88,73,15.17,moderate rain
4,Saldanha,ZA,-33.0117,17.9442,50.05,75,84,2.68,broken clouds
5,Andenes,NO,69.3143,16.1194,48.18,87,75,16.11,drizzle
6,Ko Samui,TH,9.5357,99.9357,80.51,83,75,6.91,moderate rain
7,Rikitea,PF,-23.1203,-134.9692,71.67,73,27,20.45,light rain
8,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,3.44,broken clouds
9,Bredasdorp,ZA,-34.5322,20.0403,47.95,80,31,7.99,scattered clouds
10,Chulman,RU,56.8479,124.9104,53.28,90,90,4.14,overcast clouds
11,New Norfolk,AU,-42.7826,147.0587,51.93,73,98,1.01,overcast clouds
12,Sinnamary,GF,5.3833,-52.95,80.4,82,87,15.1,overcast clouds
13,Hilo,US,19.7297,-155.09,88.29,70,75,7.0,broken clouds
14,Pochutla,MX,15.7432,-96.4661,76.15,84,100,4.03,overcast clouds
15,Punta Arenas,CL,-53.15,-70.9167,35.71,80,40,19.57,scattered clouds
16,Tasiilaq,GL,65.6145,-37.6368,41.16,96,92,6.31,overcast clouds
17,Chama,CH,47.1821,8.4636,64.62,74,7,3.69,clear sky
18,Victoria,HK,22.2855,114.1577,90.18,63,67,1.99,broken clouds
19,Pisco,PE,-13.7,-76.2167,60.85,82,0,6.91,clear sky
20,Grindavik,IS,63.8424,-22.4338,49.95,93,0,6.91,clear sky
21,Yellowknife,CA,62.456,-114.3525,59.52,67,75,12.66,broken clouds
22,Vuktyl,RU,63.8567,57.3094,42.31,96,100,5.66,overcast clouds
23,Cape Town,ZA,-33.9258,18.4232,54.27,68,75,8.05,broken clouds
24,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,93,5.99,overcast clouds
25,Namie,JP,37.4833,141.0,83.71,95,82,12.91,broken clouds
26,Mataura,NZ,-46.1927,168.8643,41.49,92,88,6.04,overcast clouds
27,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,13,0,13.8,clear sky
28,Birjand,IR,32.8663,59.2211,63.07,17,0,4.61,clear sky
29,Najran,SA,17.4924,44.1277,77.65,19,76,2.84,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,40.71,98,100,3.36,light rain
31,Avarua,CK,-21.2078,-159.775,75.25,94,100,10.36,light rain
32,Hermanus,ZA,-34.4187,19.2345,51.8,78,79,9.4,broken clouds
33,Busselton,AU,-33.65,115.3333,50.18,88,100,5.99,light rain
34,Marau,BR,-28.4492,-52.2,53.8,85,100,2.66,light rain
35,Haimen,CN,23.1935,116.6142,80.49,70,84,3.58,broken clouds
36,Port Hedland,AU,-20.3167,118.5667,66.25,55,0,11.5,clear sky
37,Severo-Kurilsk,RU,50.6789,156.125,55.4,89,97,7.81,overcast clouds
38,Butaritari,KI,3.0707,172.7902,81.75,78,84,16.13,light rain
39,Ushuaia,AR,-54.8,-68.3,33.46,86,75,13.8,broken clouds
40,Hobart,AU,-42.8794,147.3294,52.27,73,40,8.05,scattered clouds
41,Chokurdakh,RU,70.6333,147.9167,47.77,53,99,8.37,overcast clouds
42,Torbay,CA,47.6666,-52.7314,63.75,93,100,11.99,overcast clouds
43,Magdagachi,RU,53.45,125.8,54.28,96,100,8.46,light rain
44,Zlobin,HR,45.2924,14.6541,62.58,78,21,4.5,few clouds
45,Port Elizabeth,ZA,-33.918,25.5701,57.49,70,0,23.02,clear sky
46,Ponta Do Sol,PT,32.6667,-17.1,71.71,72,76,2.01,broken clouds
47,Albany,US,42.6001,-73.9662,65.95,94,100,2.66,moderate rain
48,Kapaa,US,22.0752,-159.319,84.52,61,0,11.5,clear sky
49,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,75,27.63,broken clouds
50,Sakakah,SA,29.9697,40.2064,87.37,15,0,2.53,clear sky
51,Barrow,US,71.2906,-156.7887,39.22,75,100,8.05,overcast clouds
52,Mahajanga,MG,-15.7167,46.3167,73.42,64,40,5.75,scattered clouds
53,Aklavik,CA,68.2191,-135.0107,40.59,71,100,20.36,overcast clouds
54,Port Alfred,ZA,-33.5906,26.891,55.18,72,2,3.0,clear sky
55,Saint George,US,37.1041,-113.5841,107.94,12,0,13.8,clear sky
56,Dvorichna,UA,49.8496,37.6857,44.96,85,31,6.46,scattered clouds
57,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,11.5,scattered clouds
58,Bluff,NZ,-46.6,168.3333,41.81,57,90,16.93,overcast clouds
59,Bouna,CI,9.2667,-3.0,71.89,97,68,4.21,light rain
60,Srednekolymsk,RU,67.45,153.6833,49.06,54,86,9.42,overcast clouds
61,Ambilobe,MG,-13.2,49.05,66.11,76,8,3.24,clear sky
62,Owensboro,US,37.7742,-87.1133,82.45,69,0,4.61,clear sky
63,Atar,MR,20.5169,-13.0499,93.96,31,25,10.22,scattered clouds
64,Cidreira,BR,-30.1811,-50.2056,60.24,82,85,16.69,overcast clouds
65,Ongandjera,NA,-17.8833,15.0667,64.11,17,0,9.6,clear sky
66,Mahebourg,MU,-20.4081,57.7,70.09,73,40,11.5,scattered clouds
67,Moron,AR,-34.6534,-58.6198,62.96,51,0,5.55,clear sky
68,Haines Junction,CA,60.7522,-137.5108,62.55,36,59,3.44,broken clouds
69,Hachinohe,JP,40.5,141.5,79.61,69,100,8.75,overcast clouds
70,Castro,BR,-24.7911,-50.0119,53.19,91,89,10.54,overcast clouds
71,College,US,64.8569,-147.8028,62.08,60,75,3.44,broken clouds
72,Kahului,US,20.8947,-156.47,86.02,76,75,21.85,broken clouds
